Rank,Title
472,Alliant Techsystems Inc.
473,Atmos Energy Corporation
474,AbitibiBowater Inc.
475,W.R. Berkley Corporation
476,Biogen Idec Inc.
477,Cliffs Natural Resources Inc.
478,Rockwell Collins Inc.
479,Phillips-Van Heusen Corporation
480,Graybar Electric Company Inc.
481,El Paso Corporation
482,The J.M. Smucker Company
483,SCANA Corporation
484,Cognizant Technology Solutions Corporation
485,Terex Corporation
486,PulteGroup Inc.
487,Genzyme Corporation
488,YRC Worldwide Inc.
489,American Financial Group Inc.
490,Sealed Air Corporation
491,The Charles Schwab Corporation
492,RadioShack Corporation
493,Centene Corporation
494,Host Hotels & Resorts Inc.
495,NYSE Euronext
496,Levi Strauss & Co.
497,NuStar Energy L.P.
498,Ruddick Corporation
499,D.R. Horton Inc.
500,Seaboard Corporation
