Rank,Title
472,AbitibiBowater Inc.
473,Flowserve Corporation
474,Airgas Inc.
475,Conseco Inc.
476,Rockwell Automation Inc.
477,Kindred Healthcare Inc.
478,American Financial Group Inc.
479,Kelly Services Inc.
480,Spectrum Group International Inc.
481,RadioShack Corporation
482,CA Inc.
483,Con-way Incorporated
484,Erie Insurance Group
485,Casey’s General Stores Inc.
486,Centene Corporation
487,Sealed Air Corporation
488,Frontier Oil Corporation
489,SCANA Corporation
490,Live Nation Entertainment Inc.
491,Fiserv Inc.
492,Host Hotels & Resorts Inc.
493,H&R Block Inc.
494,Electronic Arts Inc.
495,Franklin Resources Inc.
496,Wisconsin Energy Corporation
497,Northern Trust Corporation
498,MDU Resources Group Inc.
499,CB Richard Ellis Group Inc.
500,Blockbuster Inc.
