Rank,Title,
122,Northrop Grumman Corporation,
123,Duke Energy Corporation,
124,Capital One Financial Corporation,
125,Aflac Incorporated,
126,Raytheon Company,
127,Staples Inc.,
128,EMC Corporation,
129,Eli Lilly and Company,
130,Alcoa Inc.,
131,National Oilwell Varco Inc.,
132,Baker Hughes Incorporated,
133,US Foods Inc.,
134,Time Warner Cable Inc.,
135,Union Pacific Corporation,
136,Abbott Laboratories,
137,Xerox Corporation,
138,Arrow Electronics Inc,
139,Kimberly-Clark Corporation,
140,U.S. Bancorp,
141,United Services Automobile Association,
142,Freeport-McMoRan Copper & Gold Inc.,
143,Icahn Enterprises L.P.,
144,ManpowerGroup Inc.,
145,HollyFrontier Corporation,
146,Global Partners LP,
147,The Goodyear Tire & Rubber Company,
148,PBF Energy Inc.,
149,Danaher Corporation,
150,Nucor Corporation,
151,Kohl’s Corporation,
152,AbbVie Inc.,
153,Whirlpool Corporation,
154,Amgen Inc.,
155,Jabil Circuit Inc.,
156,Kraft Foods Group Inc.,
157,The Progressive Corporation,
158,CenturyLink Inc.,
159,General Mills Inc.,
160,Southwest Airlines Co.,
161,Altria Group Inc.,
162,AutoNation Inc.,
163,Chesapeake Energy Corporation,
164,Dollar General Corporation,
165,TRW Automotive Holdings Corp.,
166,United States Steel Corporation,
167,Colgate-Palmolive Company,
168,Cummins Inc.,
169,PACCAR Inc,
170,The Southern Company,
171,Illinois Tool Works Inc.,
172,The PNC Financial Services Group Inc.,
173,Medtronic Inc.,
174,The AES Corporation,
175,Murphy USA Inc.,
176,Bristol-Myers Squibb Company,
177,Lear Corporation,
178,The Gap, Inc.
179,Apache Corporation,
180,eBay Inc.,
181,The Bank of New York Mellon Corporation,
182,CBS Corporation,
183,PG&E Corporation,
184,ConAgra Foods Inc.,
185,Computer Sciences Corporation,
186,American Electric Power Company Inc.,
187,Western Digital Corporation,
188,Marathon Oil Corporation,
189,Baxter International Inc.,
190,PPG Industries Inc.,
191,NextEra Energy Inc.,
192,Community Health Systems Inc.,
193,Loews Corporation,
194,Penske Automotive Group Inc.,
195,FirstEnergy Corp.,
196,Starbucks Corporation,
197,Monsanto Company,
198,Kellogg Company,
199,Land O’Lakes Inc.,
200,ONEOK Inc.,
201,Omnicom Group Inc.,
202,Anadarko Petroleum Corporation,
203,EOG Resources Inc.,
204,DISH Network Corporation,
205,Genuine Parts Company,
206,Kinder Morgan Inc.,
207,Waste Management Inc.,
208,The Chubb Corporation,
209,Aramark Holdings Corporation,
210,Viacom Inc.,
211,Las Vegas Sands Corp.,
212,Dominion Resources Inc.,
213,Ecolab Inc.,
214,Smithfield Foods Inc.,
215,Thermo Fisher Scientific Inc.,
216,Yum! Brands Inc.,
217,Parker-Hannifin Corporation,
218,Whole Foods Market Inc.,
219,Marriott International Inc.,
220,C. H. Robinson Worldwide Inc.,
221,L-3 Communications Holdings Inc.,
222,Edison International,
223,Toys “R” Us Inc.,
224,Nordstrom Inc.,
225,Consolidated Edison Inc.,
226,Marsh & McLennan Companies Inc.,
227,Texas Instruments Incorporated,
228,Textron Inc.,
229,Tenet Healthcare Corporation,
230,DaVita HealthCare Partners Inc.,
231,CSX Corporation,
232,Lincoln National Corporation,
233,Praxair Inc.,
234,PPL Corporation,
235,J.C. Penney Company Inc.,
236,Peter Kiewit Sons’ Inc.,
237,Jacobs Engineering Group Inc.,
238,Visa Inc.,
239,H.J. Heinz Company,
240,CarMax Inc.,
241,V.F. Corporation,
242,Entergy Corporation,
243,Automatic Data Processing Inc.,
244,NRG Energy Inc.,
245,Guardian Life Ins. Co. of America,
246,Liberty Interactive Corporation,
247,Norfolk Southern Corporation,
248,Office Depot Inc.,
249,Ameriprise Financial Inc.,
250,Gilead Sciences Inc.,
251,Centene Corporation,
252,Leucadia National Corporation,
253,Huntsman Corporation,
254,Health Net Inc.,
255,Stanley Black & Decker Inc.,
256,URS Corporation,
257,Xcel Energy Inc.,
258,Bed Bath & Beyond Inc.,
259,Navistar International Corporation,
260,Synnex Corporation,
261,First Data Corporation,
262,AGCO Corporation,
263,L Brands Inc.,
264,Hertz Global Holdings Inc.,
265,CDW Corporation,
266,CST Brands Inc.,
267,Sempra Energy,
268,R.R. Donnelley & Sons Company,
269,BB&T Corporation,
270,Devon Energy Corporation,
271,Family Dollar Stores Inc.,
272,Unum Group,
273,Ally Financial Inc.,
274,Reinsurance Group of America Incorporated,
275,State Street Corporation,
276,Air Products & Chemicals Inc.,
277,Ross Stores Inc.,
278,The Sherwin-Williams Company,
279,The Estée Lauder Companies Inc.,
280,BlackRock Inc.,
281,Western Refining Inc.,
282,Avon Products Inc.,
283,The Mosaic Company,
284,Public Service Enterprise Group Incorporated,
285,Dean Foods Company,
286,Cameron International Corporation,
287,MGM Resorts International,
288,KKR & Co. L.P.,
289,Hilton Worldwide Holdings Inc.,
290,DTE Energy Company,
291,Genworth Financial Inc.,
292,Henry Schein Inc.,
293,Rock-Tenn Company,
294,WellCare Health Plans Inc.,
295,W.W. Grainger Inc.,
296,Discover Financial Services,
297,Eastman Chemical Company,
298,Principal Financial Group Inc.,
299,Reliance Steel & Aluminum Co.,
300,AutoZone Inc.,
301,Dover Corporation,
302,Micron Technology Inc.,
303,Owens & Minor Inc.,
304,Assurant Inc.,
305,GameStop Corp.,
306,Stryker Corporation,
307,Group 1 Automotive Inc.,
308,Cognizant Technology Solutions Corporation,
309,Sonic Automotive Inc.,
310,Autoliv Inc.,
311,Hormel Foods Corporation,
312,Motorola Solutions Inc.,
313,Crown Holdings Inc.,
314,SunTrust Banks Inc.,
315,Campbell Soup Company,
316,Fidelity National Financial Inc.,
317,HD Supply Holdings Inc.,
318,Caesars Entertainment Corporation,
319,Darden Restaurants Inc.,
320,Weyerhaeuser Company,
321,Ball Corporation,
322,Precision Castparts Corp.,
323,Masco Corporation,
324,Universal Health Services Inc.,
325,Republic Services Inc.,
326,MasterCard Incorporated,
327,Newmont Mining Corporation,
328,Broadcom Corporation,
329,Reynolds American Inc.,
330,PVH Corp.,
331,Charter Communications Inc.,
332,AECOM Technology Corporation,
333,CenterPoint Energy Inc.,
333,Pacific Life,
335,Thrivent Financial for Lutherans,
336,Becton, Dickinson and Company
337,Franklin Resources Inc.,
338,Tenneco Inc.,
339,TravelCenters of America LLC,
340,Avis Budget Group Inc.,
341,Facebook Inc.,
342,Dollar Tree Inc.,
343,Corning Incorporated,
344,Ashland Inc.,
345,Sealed Air Corporation,
346,Core-Mark Holding Company Inc.,
347,Oshkosh Corporation,
348,Coca-Cola Enterprises Inc.,
349,WESCO International Inc.,
350,Applied Materials Inc.,
351,Visteon Corporation,
352,BorgWarner Inc.,
353,Spectrum Group International Inc.,
354,Oaktree Capital Group, LLC
355,Steel Dynamics Inc.,
356,Jarden Corporation,
357,Mohawk Industries Inc.,
358,Terex Corporation,
359,Northeast Utilities,
360,KBR Inc.,
361,Fifth Third Bancorp,
362,UGI Corporation,
363,CBRE Group Inc.,
364,Quest Diagnostics Incorporated,
365,Peabody Energy Corporation,
366,The Hershey Company,
367,Boston Scientific Corporation,
368,FMC Technologies Inc.,
369,The Interpublic Group of Companies Inc.,
370,Commercial Metals Company,
371,The Pantry Inc.,
372,Owens-Illinois Inc.,
373,American Family Ins. Group,
374,Ralph Lauren Corporation,
375,Biogen Idec Inc.,
376,PetSmart Inc.,
377,Mylan Inc.,
378,Symantec Corporation,
379,Ameren Corporation,
380,The Williams Companies Inc.,
381,Barnes & Noble Inc.,
382,Huntington Ingalls Industries Inc.,
383,The Priceline Group Inc.,
384,Agilent Technologies Inc.,
385,Dana Holding Corporation,
386,Dillard’s Inc.,
387,Seaboard Corporation,
388,Vanguard Health Systems Inc.,
389,Casey’s General Stores Inc.,
390,O’Reilly Automotive Inc.,
391,The Blackstone Group L.P.,
392,Mutual of Omaha Insurance Company,
393,Molina Healthcare Inc.,
394,CMS Energy Corporation,
395,Targa Resources Corp.,
396,Quanta Services Inc.,
397,Cablevision Systems Corporation,
398,Avery Dennison Corporation,
399,Celanese Corporation,
400,Foot Locker Inc.,
401,Celgene Corporation,
402,Advance Auto Parts Inc.,
403,Mattel Inc.,
404,Live Nation Entertainment Inc.,
405,General Cable Corporation,
406,Ryder System Inc.,
407,EMCOR Group Inc.,
408,Allergan Inc.,
409,W.R. Berkley Corporation,
410,Rockwell Automation Inc.,
411,NetApp Inc.,
412,Ingredion Incorporated,
413,Level 3 Communications Inc.,
414,Calpine Corporation,
415,Omnicare Inc.,
416,Erie Insurance Group,
417,SLM Corporation,
418,D.R. Horton Inc.,
419,CC Media Holdings Inc.,
420,Anixter International Inc.,
421,Dick’s Sporting Goods Inc.,
422,SanDisk Corporation,
423,NCR Corporation,
424,Starwood Hotels & Resorts Worldwide Inc.,
425,Expeditors International of Washington Inc.,
426,Fidelity National Information Services Inc.,
427,United Natural Foods Inc.,
428,Auto-Owners Insurance Group,
429,Windstream Holdings Inc.,
430,Dr Pepper Snapple Group Inc.,
431,Lennar Corporation,
432,Sanmina,
433,Harley-Davidson Inc.,
434,CONSOL Energy Inc.,
435,The J.M. Smucker Company,
436,Newell Rubbermaid Inc.,
437,CH2M HILL Companies Ltd.,
438,Energy Future Holdings Corp.,
439,Susser Holdings Corporation,
440,Laboratory Corporation of America Holdings,
441,Kindred Healthcare Inc.,
442,Leidos Holdings Inc.,
443,Booz Allen Hamilton Holding Corp.,
444,The Jones Financial Companies L.L.L.P.,
445,Cliffs Natural Resources Inc.,
446,PulteGroup Inc.,
447,Regions Financial Corporation,
448,NiSource Inc.,
449,Graybar Electric Company Inc.,
450,Integrys Energy Group Inc.,
451,The Clorox Company,
452,Wynn Resorts Limited,
453,The Andersons Inc.,
454,J.B. Hunt Transport Services Inc.,
455,AK Steel Holding Corporation,
456,Harbinger Group Inc.,
457,MeadWestvaco Corporation,
458,The Western Union Company,
459,The Charles Schwab Corporation,
460,Discovery Communications Inc.,
461,Spectra Energy Corp,
462,St. Jude Medical Inc.,
463,CF Industries Holdings Inc.,
464,Con-way Inc.,
465,Old Republic International Corporation,
466,JetBlue Airways Corporation,
467,Calumet Specialty Products Partners L.P.,
468,Kelly Services, Inc.
469,Domtar Corporation,
470,Murphy Oil Corporation,
471,Harris Corporation,
472,Asbury Automotive Group Inc.,
473,Big Lots Inc.,
474,Advanced Micro Devices Inc.,
475,Owens Corning,
476,Realogy Holdings Corp.,
477,Host Hotels & Resorts Inc.,
478,MRC Global Inc.,
479,Simon Property Group Inc.,
480,Tractor Supply Company,
481,Gannett Co. Inc.,
482,Alaska Air Group Inc.,
483,Insight Enterprises Inc.,
484,McGraw Hill Financial Inc.,
485,Buckeye Partners L.P.,
486,Quintiles Transnational Holdings Inc.,
487,American Financial Group Inc.,
488,United Stationers Inc.,
489,Coach Inc.,
490,LKQ Corporation,
491,Noble Energy Inc.,
492,Bemis Company Inc.,
493,Joy Global Inc.,
494,Wyndham Worldwide Corporation,
495,NII Holdings Inc.,
496,Lorillard Inc.,
497,Alleghany Corporation,
498,Airgas Inc.,
499,First American Financial Corporation,
500,United Rentals Inc.,
