Rank,Title
473,The Western Union Company
474,The Clorox Company
475,BlackRock Inc.
476,Advance Auto Parts Inc.
477,Insight Enterprises Inc.
478,Telephone and Data Systems Inc.
479,Liz Claiborne Inc.
480,Western & Southern Mutual Holding Company
481,Fidelity National Information Services Inc.
482,BJ Services Company
483,Hovnanian Enterprises Inc.
484,Holly Corporation
485,Universal Health Services Inc.
486,El Paso Corporation
487,Spectra Energy Corp
488,Erie Insurance Group
489,PetSmart Inc.
490,Cameron International Corporation
491,Chiquita Brands International Inc.
492,Jarden Corporation
493,Big Lots Inc.
494,Sealed Air Corporation
495,Toll Brothers Inc.
496,United Stationers Inc.
497,Robert Half International Inc.
498,FMC Technologies Inc.
499,Perini Corporation
500,SCANA Corporation
