Rank,Title
146,Freeport-McMoRan Copper & Gold Inc.
147,Xerox Corporation
148,Illinois Tool Works Inc.
149,The Southern Company
150,Merrill Lynch & Co. Inc.
151,Arrow Electronics Inc
152,AFLAC Incorporated
153,Computer Sciences Corporation
154,FPL Group Inc.
155,Kohl’s Corporation
156,The Bank of New York Mellon Corporation
157,Dominion Resources Inc.
158,The AES Corporation
159,Oneok Inc.
160,Altria Group Inc.
161,PPG Industries Inc.
162,Anadarko Petroleum Corp.
163,Devon Energy Corporation
164,Eaton Corporation
165,Health Net Inc.
166,Colgate-Palmolive Company
167,Continental Airlines Inc.
168,Amgen Inc
169,TRW Automotive Holdings Corp.
170,PACCAR Inc
171,L-3 Communications Holdings Inc.
172,EMC Corporation
173,Textron Inc.
174,Loews Corporation
175,Navistar International Corporation
176,PG&E Corporation
177,Viacom Inc.
178,The Gap Inc.
179,Office Depot Inc.
180,American Electric Power Company Inc.
181,Cummins Inc.
182,Autonation Inc.
183,Smithfield Foods Inc.
184,Edison International
185,Integrys Energy Group Inc.
186,CBS Corporation
187,Sun Microsystems Inc.
188,ConAgra Foods Incorporated
189,The Pepsi Bottling Group Inc.
190,Public Service Enterprise Group Inc.
191,Consolidated Edison Inc.
192,Toys ” R ” Us Inc.
193,General Mills Inc.
194,FirstEnergy Corp.
195,Lear Corporation
196,Medtronic Inc.
197,Qwest Communications International Inc.
198,Aramark Corporation
199,Sara Lee Corporation
200,National Oilwell Varco Inc.
201,Waste Management Inc.
202,Omnicom Group Inc.
203,The Chubb Corporation
204,Duke Energy Corporation
205,Entergy Corporation
206,State Street Corporation
207,United Services Automobile Association
208,Marriott International Inc.
209,The Progressive Corporation
210,Kellogg Company
211,SunTrust Banks Inc.
212,Jabil Circuit Inc.
213,Danaher Corporation
214,Reliant Energy Inc.
215,Texas Instruments Incorporated
216,Dean Foods Company
217,Apache Corporation
218,The Williams Companies Inc.
219,Baxter International Inc.
220,Freddie Mac
221,Parker-Hannifin Corporation
222,US Airways Group Inc.
223,Knight Inc.
224,Land O’Lakes Inc.
225,Penske Automotive Group Inc.
226,Coventry Health Care Inc.
227,Baker Hughes Incorporated
228,Circuit City Stores Inc.
229,ITT Corporation
230,Chesapeake Energy Corporation
231,DISH Network Corporation
232,Marsh & McLennan Companies Inc.
233,R.R. Donnelley & Sons Company
234,KBR Inc.
235,Monsanto Company
236,Weyerhaeuser Company
237,Energy Future Holdings Corp.
238,CenterPoint Energy Inc.
239,Yum! Brands Inc.
240,CSX Corporation
241,Jacobs Engineering Group Inc.
242,Xcel Energy Inc.
243,Community Health Systems Inc.
244,Qualcomm Inc.
245,American International GroupInc.
246,Southwest Airlines Co.
247,Genuine Parts Company
248,Air Products & Chemicals Inc.
249,Praxair Inc.
250,Smith International Inc.
251,Commercial Metals Company
252,Sempra Energy
253,Western Refining Inc.
254,Pepco Holdings Inc.
255,Avon Products Inc.
256,Norfolk Southern Corporation
257,Liberty Global Inc.
258,Thermo Fisher Scientific Inc.
259,Dollar General Corporation
260,BB&T Corporation
261,Starbucks Corporation
262,Huntsman Corporation
263,Harrah’s Entertainment Inc.
264,URS Corporation
265,Liberty Media Corporation
266,SAIC Inc.
267,H.J. Heinz Company
268,Enbridge Energy Partners L.P.
269,BJ’s Wholesale Club Inc.
270,Unum Group
271,Genworth Financial  Inc.
272,Calpine Corporation
273,Principal Financial Group Inc.
274,Lincoln National Corporation
275,Terex Corporation
276,The Mosaic Company
277,Masco Corporation
278,The PNC Financial Services Group Inc.
279,Guardian Life Ins. Co. of America
280,Regions Financial Corporation
281,Rohm and Haas Company
282,Visteon Corporation
283,Tenet Healthcare Corporation
284,Eastman Kodak Company
285,DTE Energy Company
286,Energy Transfer Equity L.P.
287,The Hartford Financial Services Group Inc.
288,Progress Energy Inc.
289,NiSource Inc.
290,Limited Brands Inc.
291,Global Partners LP
292,Sanmina-SCI Corporation
293,YRC Worldwide Inc.
294,Reynolds American Inc.
295,First Data Corporation
296,GameStop Corp.
297,Automatic Data Processing Inc.
298,Reliance Steel & Aluminum Co.
299,Assurant Inc.
300,C. H. Robinson Worldwide Inc.
301,Nordstrom Inc.
302,Fifth Third Bancorp
303,eBay Inc.
304,Pilgrim’s Pride Corporation
305,Hertz Global Holdings Inc.
306,AGCO Corporation
307,Aon Corporation
308,Centex Corporation
309,Campbell Soup Co.
310,Ashland Inc.
311,CarMax Inc.
312,Crown Holdings Inc.
313,OfficeMax Incorporated
314,PPL Corporation
315,Applied Materials Inc.
316,Dana Holding Corporation
317,The Pantry Inc.
318,Steel Dynamics Inc.
319,Western Digital Corporation
320,Boston Scientific Corporation
321,Peter Kiewit Sons’ Inc.
322,The Sherwin-Williams Company
323,Targa Resources Inc.
324,Whole Foods Market Inc.
326,Owens-Illinois Inc.
327,Ameren Corporation
328,Synnex Corp.
329,Dole Food Company Inc.
330,XTO Energy Inc.
331,SLM Corporation
332,TravelCenters of America LLC
333,Dover Corporation
334,AK Steel Holding Corporation
335,V.F. Corporation
336,Ball Corporation
337,Sonic Automotive Inc.
338,Virgin Media Inc.
339,Owens & Minor Inc.
340,Winn-Dixie Stores Inc.
341,Quest Diagnostics Incorporated
342,Cablevision Systems Corporation
343,Atmos Energy Corporation
344,MGM MIRAGE
345,Yahoo! Inc.
346,ArvinMeritor Inc.
347,Becton Dickinson and Company
348,Ameriprise Financial Inc.
349,Oshkosh Corporation
350,EOG Resources Inc
351,Fortune Brands Inc.
352,Discover Financial Services
353,Peabody Energy Corporation
354,Goodrich Corporation
355,Bed Bath & Beyond Inc.
356,Smurfit-Stone Container Corporation
357,The Shaw Group Inc.
358,Dillard’s Inc.
359,Family Dollar Stores Inc.
360,The Great Atlantic & Pacific Tea Company Inc.
361,The Interpublic Group of Companies Inc.
362,Precision Castparts Corporation
363,NRG Energy Inc.
364,Eastman Chemical Company
365,MeadWestvaco Corporation
366,W.W. Grainger Inc.
367,Mohawk Industries Inc.
368,Celanese Corporation
369,CMS Energy Corporation
370,Emcor Group Inc.
371,Gannett Co. Inc.
372,CC Media Holdings Inc.
373,Hormel Foods Corporation
374,Darden Restaurants Inc.
375,Stryker Corporation
376,Avery Dennison Corporation
377,UGI Corporation
378,D.R. Horton Inc.
379,AbitibiBowater Inc.
380,AutoZone Inc.
381,WellCare Health Plans Inc.
382,KeyCorp
383,Frontier Oil Corporation
384,Ross Stores Inc.
385,Charter Communications Inc.
386,Autoliv Inc.
387,Newell Rubbermaid Inc.
388,American Family Ins. Group
389,Henry Schein Inc.
390,Domtar Corporation
391,The McGraw-Hill Companies Inc.
392,Omnicare Inc.
393,Pulte Homes Inc.
394,Visa Inc.
395,Pitney Bowes Inc.
396,General Cable Corporation
397,CIT Group Inc.
398,The First American Corporation
399,Ryder System Inc.
400,Newmont Mining Corporation
401,Affiliated Computer Services Inc.
402,SPX Corporation
403,Ecolab Inc.
404,Anixter International Inc.
405,Embarq Corporation
406,WESCO International Inc.
407,Hexion Specialty Chemicals Inc.
408,The Black & Decker Corporation
409,Thrivent Financial for Lutherans
410,Franklin Resources Inc.
411,Avis Budget Group Inc.
412,Harley-Davidson Inc.
413,Aleris International Inc.
414,Corning Inc.
415,Mattel Inc.
416,Tenneco Inc.
417,Starwood Hotels & Resorts Worldwide Inc.
418,Advanced Micro Devices Inc.
419,Symantec Corporation
420,Holly Corporation
421,Cameron International Corporation
422,Owens Corning
423,Micron Technology Inc.
424,Northeast Utilities
425,Agilent Technologies Inc.
426,ProLogis
427,Dr Pepper Snapple Group Inc.
428,Group 1 Automotive Inc.
429,Rockwell Automation Inc.
430,Northern Trust Corporation
431,The Timken Company
432,Perini Corporation
433,DaVita Inc.
434,Expeditors International of Washington Inc.
435,SunGard Data Systems Inc.
436,CH2M Hill Companies Ltd.
437,Kelly Services Inc.
438,BJ Services Company
439,Graybar Electric Company Inc.
440,The Charles Schwab Corporation
441,Western & Southern Mutual Holding Company
442,Jarden Corporation
443,El Paso Corporation
444,Gilead Sciences Inc.
445,SCANA Corporation
446,NCR Corporation
447,Harris Corporation
448,Allegheny Technologies Inc.
449,Host Hotels & Resorts Inc.
450,Blockbuster Inc.
451,The Western Union Company
452,The Clorox Company
453,BorgWarner Inc.
454,Foot Locker Inc.
455,Barnes & Noble Inc.
456,Unisys Corporation
457,Freescale Semiconductor Inc.
458,AECOM Technology Corporation
459,Spectra Energy Corp
460,FMC Technologies Inc.
461,Advance Auto Parts Inc.
462,Mylan Inc.
463,The Hershey Company
464,CB Richard Ellis Group Inc.
465,Telephone and Data Systems Inc.
466,Icahn Enterprises L.P.
467,Universal Health Services Inc.
468,PetSmart Inc.
469,BlackRock Inc.
470,Con-way Incorporated
471,The Lubrizol Corporation
472,CVR Energy Inc.
473,MDU Resources Group Inc.
474,MasterCard Incorporated
475,United Stationers Inc.
476,Auto-Owners Insurance Group
477,NYSE Euronext
478,PepsiAmericas Inc.
479,Crosstex Energy Inc.
480,The Manitowoc Company Inc.
481,Polo Ralph Lauren Corporation
482,Fiserv Inc.
483,Sealed Air Corporation
484,Insight Enterprises Inc.
485,NuStar Energy L.P.
486,Asbury Automotive Group Inc.
487,Molson Coors Brewing Company
488,Rockwell Collins Inc.
489,Realogy Corporation
490,W.R. Berkley Corporation
491,Brunswick Corporation
492,Nash-Finch Company
493,Leggett & Platt Incorporated
494,Universal American Corp.
495,Broadcom Corporation
496,Brightpoint Inc
497,Consol Energy Inc.
498,Big Lots Inc.
499,Dollar Tree Inc.
500,Legg Mason Inc.
